zarobki_min,zarobki_max,nazwa,miasto,zdalnie
Brak danych,Brak danych,R&D Scientist in Power Systems Modeling and Machine Learning,Kraków,Nie
Brak danych,Brak danych,Senior AVP - Compliance Analytics,Kraków,Nie
Brak danych,Brak danych,Manager - Compliance Analytics,Kraków,Nie
Brak danych,Brak danych,Lead AVP - Compliance Analytics,Kraków,Nie
Brak danych,Brak danych,Data Scientist (Financial Crime Prevention),Warszawa,Nie
Brak danych,Brak danych,R&D Scientist in User Experience for Industrial AI and Autonomous Systems,Kraków,Nie
Brak danych,Brak danych,System Validation Engineer,Kraków,Nie
Brak danych,Brak danych,Data Analyst,Kraków,Nie
Brak danych,Brak danych,Specjalista/Specjalistka ds. Analiz Biznesowych,Warszawa,Nie
Brak danych,Brak danych,Administrator Systemów Microsoft,Warszawa,Nie
Brak danych,Brak danych,Specjalista ds. Analiz i Raportów,Warszawa,Nie
Brak danych,Brak danych,Senior Data Engineer,Kraków,Tak
Brak danych,Brak danych,Data Engineer,Kraków,Tak
Brak danych,Brak danych,Quantitative Internship – Independent Model Review,Kraków,Tak
Brak danych,Brak danych,Quantitative Analyst – Independent Model Review,Kraków,Tak
Brak danych,Brak danych,Security Engineer,Kraków,Nie
Brak danych,Brak danych,Security Engineer,Kraków,Nie
Brak danych,Brak danych,Starszy Specjalista ds. Intelligent Automation,Nie podano,Nie
Brak danych,Brak danych,Big Data Senior Analyst,Kraków,Nie
Brak danych,Brak danych,Junior Application Support Engineer,Warszawa,Nie
Brak danych,Brak danych,Architekt IT,Warszawa,Tak
Brak danych,Brak danych,SQL & Qsense Developer,Kraków,Tak
15000,22500,Senior Data Scientist - Ekspert ds. modelowania danych,Warszawa,Tak
Brak danych,Brak danych,Security Engineer (Antimalware and Endpoint Security),Kraków,Nie
Brak danych,Brak danych,Analyst - Risk Reporting with Czech,Kraków,Nie
Brak danych,Brak danych,Security Engineer (Antimalware and Endpoint Security),Kraków,Nie
Brak danych,Brak danych,Senior Engineering Specialist – File Transmissions (ITID ES),Kraków,Tak
Brak danych,Brak danych,Specjalista w obszarze Analizy Danych,Katowice,Nie
8000,12500,Technical Account Manager (APAC),Nie podano,Tak
Brak danych,Brak danych,Intern Pricing,Wrocław,Nie
Brak danych,Brak danych,Data Scientist,Warszawa,Nie
8000,12500,Technical Account Manager (APAC),Nie podano,Tak
Brak danych,Brak danych,Intern Pricing,Wrocław,Nie
Brak danych,Brak danych,Data Scientist,Warszawa,Nie
Brak danych,Brak danych,Lead Platform Architect (Compliance IT),Kraków,Tak
Brak danych,Brak danych,(CTO) Senior AWS Python Developer,Kraków,Nie
Brak danych,Brak danych,(CTO) Cloud Security Engineer,Kraków,Nie
Brak danych,Brak danych,Traded Risk Quant EQ FX - Senior AVP,Kraków,Nie
Brak danych,Brak danych,Traded Risk Quant - Senior AVP - Germany,Kraków,Nie
Brak danych,Brak danych,Menedżer ds. Data Science,Warszawa,Nie
4800,7850,Junior QA Specialist,Nie podano,Tak
Brak danych,Brak danych,Administrator Unix & Cloud,Warszawa,Tak
Brak danych,Brak danych,Risk Analyst,Kraków,Nie
Brak danych,Brak danych,Functional Tester,Nie podano,Tak
Brak danych,Brak danych,Cyber Security Engineer,Kraków,Tak
Brak danych,Brak danych,System Integrator,Kraków,Tak
Brak danych,Brak danych,Senior System Integrator,Kraków,Tak
Brak danych,Brak danych,Technology Consultant,Warszawa,Tak
Brak danych,Brak danych,DevOps/Cloud Engineer,Nie podano,Tak
Brak danych,Brak danych,Cyber Security Engineer,Kraków,Tak
Brak danych,Brak danych,System Integrator,Kraków,Tak
Brak danych,Brak danych,Expert Software Engineer,Nie podano,Tak
Brak danych,Brak danych,(IT CCM) Solution Architect,Kraków,Nie
Brak danych,Brak danych,Agile Test Engineer,Kraków,Tak
Brak danych,Brak danych,Agile Test Engineer in Coredev,Kraków,Nie
Brak danych,Brak danych,C++ Developer in Code Security Audit,Kraków,Nie
Brak danych,Brak danych,Senior Devops Engineer,Wrocław,Tak
Brak danych,Brak danych,Regular DevOps Engineer,Wrocław,Tak
Brak danych,Brak danych,Senior JavaScript Engineer,Wrocław,Tak
Brak danych,Brak danych,Regular JavaScript Engineer,Wrocław,Tak
Brak danych,Brak danych,Regular C++ Engineer,Wrocław,Tak
Brak danych,Brak danych,Senior C++ Engineer,Wrocław,Tak
Brak danych,Brak danych,Senior Java Engineer,Wrocław,Tak
Brak danych,Brak danych,Regular Java Engineer,Wrocław,Tak
Brak danych,Brak danych,Senior QA Automation Engineer,Wrocław,Tak
Brak danych,Brak danych,Regular QA Automation Engineer,Wrocław,Tak
Brak danych,Brak danych,Programista C/C++ Systemów Embedded (k/m),Zielonka,Nie
Brak danych,Brak danych,Devops & DBA Engineer,Kraków,Tak
Brak danych,Brak danych,Devops & DBA Engineer,Kraków,Tak
Brak danych,Brak danych,Devops Engineer,Kraków,Tak
Brak danych,Brak danych,R&D Front-end QA Specialist for Mission Critical Communication,Kraków,Nie
Brak danych,Brak danych,R&D Python Test Automation Engineer for Mission Critical Communication,Kraków,Nie
Brak danych,Brak danych,Python Tester,Kraków,Tak
Brak danych,Brak danych,Embedded Linux Developer,Kraków,Tak
Brak danych,Brak danych,Embedded C & Python Developer,Kraków,Tak
Brak danych,Brak danych,Software Frontend Developer / React,Kraków,Tak
Brak danych,Brak danych,Senior R&D Quality Engineer,Kraków,Tak
Brak danych,Brak danych,Junior IT Systems Administrator,Kraków,Tak
