zarobki_min,zarobki_max,nazwa,miasto,zdalnie
Brak danych,Brak danych,Senior Test Automation Engineer with Java,Wrocław,Nie
Brak danych,Brak danych,Java Developer,Warszawa,Tak
9000,13440,Junior Java Developer,Nie podano,Tak
Brak danych,Brak danych,Intern JAVA Software Developer,Warszawa,Nie
Brak danych,Brak danych,GCP DevOps Engineer (Compliance IT),Kraków,Nie
Brak danych,Brak danych,Software Test Engineer,Wrocław,Tak
Brak danych,Brak danych,(Investment Banking Tech) Principal Full Stack Engineer in Equities Trading,Kraków,Nie
Brak danych,Brak danych,Senior Java Software Engineer,Nie podano,Tak
Brak danych,Brak danych,.NET Developer,Nie podano,Tak
19000,24000,React Native Developer,Nie podano,Tak
Brak danych,Brak danych,Software Engineer - Java,Warszawa,Nie
Brak danych,Brak danych,Java Software Engineer,Warszawa,Nie
Brak danych,Brak danych,Salesforce developer,Nie podano,Tak
13000,18000,Programista / Programistka .NET,Nie podano,Nie
6000,9700,Junior Java Developer,Wrocław,Nie
Brak danych,Brak danych,Programista .NET,Warszawa,Tak
Brak danych,Brak danych,Specjalista/-ka ds. Monitoringu,Warszawa,Nie
11000,18000,Java Developer,Nie podano,Nie
18000,24000,Backend Developer (Go),Nie podano,Tak
Brak danych,Brak danych,Internship Programme (Software Development) July 2022,Kraków,Tak
Brak danych,Brak danych,Internship Programme (Quality Assurance) July 2022,Kraków,Tak
9000,16000,Microsoft Full Stack Developer,Nie podano,Tak
10985,25000,JavaScript Developer,Nie podano,Tak
Brak danych,Brak danych,Software Engineer API&UI,Nie podano,Tak
Brak danych,Brak danych,Salesforce Developer,Nie podano,Tak
Brak danych,Brak danych,Java Developer,Nie podano,Tak
Brak danych,Brak danych,Front-End Engineer for Cloud  Services,Warszawa,Nie
Brak danych,Brak danych,EUaaS Apple Desktop Engineer (ITID),Kraków,Tak
Brak danych,Brak danych,DevOps Engineer,Nie podano,Nie
Brak danych,Brak danych,Identity & Access Management Engineer,Kraków,Tak
Brak danych,Brak danych,Java and Kotlin Developer,Warszawa,Nie
10000,16000,Node.js Developer,Warszawa,Tak
Brak danych,Brak danych,Sitecore Developer,Poznań,Tak
Brak danych,Brak danych,Java Developer,Nie podano,Nie
Brak danych,Brak danych,Junior Java Developer,Nie podano,Nie
Brak danych,Brak danych,Security Engineer - Android Vulnerability Researcher,Warszawa,Nie
Brak danych,Brak danych,Programista Backend (Node.js),Gdynia,Nie
Brak danych,Brak danych,C++ Developer,Gdańsk,Tak
15000,23000,Senior Front-end Developer,Warszawa,Tak
Brak danych,Brak danych,Senior Full Stack Developer and Data Engineer,Nie podano,Tak
Brak danych,Brak danych,Senior Full Stack Developer (Focus Java and Backend),Nie podano,Tak
Brak danych,Brak danych,Senior Full Stack Developer (Focus Frontend and JavaScript (React.js)),Nie podano,Tak
Brak danych,Brak danych,IT Internship – Quality Assurance - Test Automation,Kraków,Nie
Brak danych,Brak danych,Praktyki w Obszarze Integracji Systemów (Mulesoft),Nie podano,Tak
Brak danych,Brak danych,Praktyki Java/Salesforce,Nie podano,Tak
Brak danych,Brak danych,Praktyki – Test Automation Developer (DevOps),Nie podano,Tak
Brak danych,Brak danych,Java Software Developer,Nie podano,Tak
Brak danych,Brak danych,Quant Developer,Kraków,Nie
Brak danych,Brak danych,Front-end Developer React,Nie podano,Tak
Brak danych,Brak danych,Senior In-House SAP Consultant - ABAP Lead,Warszawa,Tak
Brak danych,Brak danych,In-House SAP Consultant - Authorization,Warszawa,Tak
Brak danych,Brak danych,(Regional CIO) Senior Production Support Specialist,Kraków,Nie
11000,18000,.NET Developer,Nie podano,Tak
Brak danych,Brak danych,Junior GCP Data Engineer/Google Academy,Nie podano,Tak
Brak danych,Brak danych,Praktyki w zespole Data Engineering,Nie podano,Tak
Brak danych,Brak danych,IT Service Owner – Wealth & Personal Banking IT,Kraków,Nie
Brak danych,Brak danych,Software Engineer (Java) – Wealth & Personal Banking IT,Kraków,Nie
Brak danych,Brak danych,Junior Security Specialist,Warszawa,Nie
Brak danych,Brak danych,React Native Developer (EU candidates),Nie podano,Tak
Brak danych,Brak danych,Test Automation Engineer,Nie podano,Tak
Brak danych,Brak danych,Software Development Engineer (Java SQL),Kraków,Tak
Brak danych,Brak danych,Internship - Quality Assurance,Kraków,Tak
5500,11000,Front-End Developer,Nie podano,Tak
Brak danych,Brak danych,Program Stażowy Magenta Start - Hurtownia Danych,Warszawa,Nie
Brak danych,Brak danych,(Investment Banking Tech) Software Engineer (Sales IT),Kraków,Nie
Brak danych,Brak danych,Java Developer,Warszawa,Nie
Brak danych,Brak danych,Tester Automatyzujący,Warszawa,Nie
Brak danych,Brak danych,.Net C# Junior Developer,Kraków,Tak
Brak danych,Brak danych,.Net C# Developer,Kraków,Tak
Brak danych,Brak danych,Java Engineer (Senior),Warszawa,Nie
Brak danych,Brak danych,Software Frontend Developer (js/React),Kraków,Tak
Brak danych,Brak danych,Technical Support Engineer,Kraków,Tak
10000,29400,FullStack Java Developer,Nie podano,Tak
Brak danych,Brak danych,Tester,Nie podano,Tak
Brak danych,Brak danych,Solution Architect,Warszawa,Tak
Brak danych,Brak danych,Guidewire Developer,Nie podano,Tak
6000,12600,Junior Java Developer,Gdańsk,Tak
8000,21000,Java Developer (Spring),Gdańsk,Tak
8000,21000,Java Developer,Gdańsk,Tak
23000,27000,Full Stack .Net Developer + React,Nie podano,Tak
Brak danych,Brak danych,Cross-platform Integration Developer,Nie podano,Tak
Brak danych,Brak danych,Java Developer,Nie podano,Tak
Brak danych,Brak danych,Programista RPG,Nie podano,Tak
Brak danych,Brak danych,Software Engineer (with Golang),Nie podano,Nie
Brak danych,Brak danych,Fullstack engineer (Java/Angular),Warszawa,Nie
Brak danych,Brak danych,Java Developer,Warszawa,Nie
8000,21000,Java/C++ Developer,Gdańsk,Tak
Brak danych,Brak danych,ETL Developer,Warszawa,Nie
9000,12000,QA Engineer (m/f/d),Katowice,Tak
21000,28500,Senior React Native Developer,Kraków,Tak
Brak danych,Brak danych,DevOps Engineer,Kraków,Nie
Brak danych,Brak danych,Senior Java developer,Kraków,Tak
Brak danych,Brak danych,Senior QA Automation Engineer,Wrocław,Tak
Brak danych,Brak danych,Scala/Big Data Developer,Kraków,Tak
Brak danych,Brak danych,Backend Software Engineer,Kraków,Tak
20000,25000,Senior Java Developer,Wrocław,Tak
Brak danych,Brak danych,Lead Test Engineer (Marketing & Communications IT),Kraków,Nie
Brak danych,Brak danych,Frontend Developer – React,Katowice,Nie
Brak danych,Brak danych,R&D Scientist in Software Design for Machine Learning,Kraków,Nie
Brak danych,Brak danych,R&D Scientist in Power Systems Modeling and Machine Learning,Kraków,Nie
12000,27000,Java Developer,Warszawa,Nie
Brak danych,Brak danych,Java Developer - Common Connectivity Tribe,Warszawa,Tak
Brak danych,Brak danych,(Investment Banking Tech) Senior C# Developer in Equities Tech Structured Products,Kraków,Nie
6000,12600,Junior Backend Developer (DDL),Gdańsk,Nie
5000,7000,Menadżer ds. Technicznej Obsługi Klienta / Technical Account Manager,Warszawa,Nie
Brak danych,Brak danych,.NET Developer,Nie podano,Tak
8000,14000,Programista PHP,Nie podano,Nie
8000,28056,Java and Reactive Programming,Gdańsk,Tak
Brak danych,Brak danych,Administrator Systemów Informatycznych - Utrzymanie aplikacji w obszarze integracji,Nie podano,Tak
Brak danych,Brak danych,Data Engineer/ Programista ETL,Wrocław,Tak
23000,26880,Kierownik Techniczny/Engineering Manager,Nie podano,Tak
Brak danych,Brak danych,Data analyst,Nie podano,Nie
