nazwa,miasto,zdalnie,zarobki_min,zarobki_max
Project Management Office Team Lead,"Białystok, +2 locations",Tak,Brak danych,Brak danych
Head of IT,"Gdańsk, +1 location",Tak,30 000,36 000
Scrum Master,"Warszawa, +5 locations",Tak,12 000,19 000
Business Relationship / Matching Manager,Warszawa,Tak,8 000,12 500
Product Owner,Wrocław,Tak,15 000,21 000
Business Analyst,"Warszawa, +5 locations",Tak,4 390,8 780
"Senior Project Manager, NPI","Gdynia, +2 locations",Tak,Brak danych,Brak danych
Senior Project Manager,Warszawa,Tak,14 700,22 050
Project Manager,Warszawa,Tak,8 400,14 700
Junior IT Project Manager,Lublin,Nie,Brak danych,Brak danych
Product Manager,Warszawa,Nie,15 000,21 000
Product Owner,Gliwice,Nie,22 000,25 000
Junior Project Manager,Gliwice,Nie,3 200,5 000
Head of Development,Warszawa,Nie,Brak danych,Brak danych
Jira Product Owner,Wrocław,Tak,Brak danych,Brak danych
Senior IT Service Manager,"Warszawa, +7 locations",Nie,Brak danych,Brak danych
Project Manager IT,"Wrocław, +4 locations",Tak,Brak danych,Brak danych
Senior IT Project Manager,Wrocław,Tak,14 000,17 000
IT Team Lead,"Warszawa, +2 locations",Nie,24 000,28 000
Specjalista ds. PMO,Warszawa,Nie,Brak danych,Brak danych
Junior Project Manager,Wrocław,Nie,6 100,10 400
IT Project Manager,Wrocław,Tak,8 000,13 000
Service Delivery Manager,Warszawa,Nie,Brak danych,Brak danych
Platform Team Lead,Warszawa,Tak,20 000,30 000
Product Owner,"Kraków, +2 locations",Nie,12 600,25 200
Project Coordinator,Wrocław,Tak,4 000,6 000
Software Development Manager,Wrocław,Nie,Brak danych,Brak danych
Product Owner,Warszawa,Tak,22 000,28 000
Product Owner,Poznań,Nie,Brak danych,Brak danych
Senior Delivery Leader,"Wrocław, +2 locations",Nie,10 000,17 000
Koordynator Projektów Wdrożeniowych,Wrocław,Nie,7 000,7 800
Product Management Intern,Warszawa,Tak,3 100,3 500
Area Product Owner,Warszawa,Nie,Brak danych,Brak danych
Service Transition Manager,Warszawa,Tak,16 800,21 000
Scrum Master,"Wrocław, +2 locations",Tak,10 000,15 200
Agile Lead,"Gliwice, +3 locations",Tak,15 700,22 500
Scrum Master,Sopot,Nie,20 200,25 500
Software Product Owner,Kraków,Nie,17 760,22 080
Senior IT Product Owner,Gdańsk,Nie,Brak danych,Brak danych
IT Project Manager,Poznań,Tak,8 000,12 000
Manager IT,"Gdańsk, +2 locations",Nie,12 000,17 000
Product Owner,Kraków,Tak,13 000,17 000
Product Owner,Zabierzów,Nie,Brak danych,Brak danych
Project Manager,Wrocław,Nie,19 000,24 000
Lead Technical Writer,"Wrocław, +2 locations",Tak,Brak danych,Brak danych
Senior IT Product Owner,Gdańsk,Nie,Brak danych,Brak danych
IT Project Manager,Poznań,Tak,8 000,12 000
Manager IT,"Gdańsk, +2 locations",Nie,12 000,17 000
Product Owner,Kraków,Tak,13 000,17 000
Product Owner,Zabierzów,Nie,Brak danych,Brak danych
Project Manager,Wrocław,Nie,19 000,24 000
Lead Technical Writer,"Wrocław, +2 locations",Tak,Brak danych,Brak danych
Scrum Master,Wrocław,Tak,13 000,18 000
Lead Product Manager,"Kraków, +1 location",Tak,23 000,28 000
Project Coordinator,Gdańsk,Nie,Brak danych,Brak danych
Project Manager,Gdańsk,Nie,Brak danych,Brak danych
Scrum Master,Gdańsk,Tak,Brak danych,Brak danych
Product Operations Manager,Warszawa,Nie,Brak danych,Brak danych
Technical Project Manager,Wrocław,Nie,16 000,22 000
Scrum Master,Łódź,Tak,17 000,23 000
Agile Coordinator (Scrum Master),"Kraków, +2 locations",Nie,12 000,19 000
Senior Product Manager,Kraków,Nie,16 000,20 000
Project Manager,"Poznań, +2 locations",Nie,6 000,12 000
System Integration Technical Lead,"Bydgoszcz, +2 locations",Tak,Brak danych,Brak danych
Project Manager,Łódź,Nie,Brak danych,Brak danych
IT Project Manager,Poznań,Tak,10 000,14 000
Senior Agile Coach,Gdańsk,Nie,17 000,21 000
Scrum Master,Poznań,Nie,Brak danych,Brak danych
Scrum Master,Warszawa,Tak,10 000,15 000
Senior Project Manager,Wrocław,Tak,16 800,21 000
IT PROJECT MANAGER,Wrocław,Nie,8 000,16 000
Junior Product Owner,Gdańsk,Nie,5 000,9 000
Scrum Master,"Warszawa, +2 locations",Tak,10 000,15 000
Product Manager / Team Leader 🦸,Gdańsk,Nie,13 800,18 600
Scrum Master,Kraków,Nie,Brak danych,Brak danych
Product Owner for Application Team,Warszawa,Nie,20 000,28 000
Product Owner for Platform Team,Warszawa,Nie,25 000,31 000
Project Manager,Kraków,Nie,12 000,16 000
Senior Product Manager,"Wrocław, +1 location",Tak,19 000,23 000
Scrum Master,"Wrocław, +2 locations",Tak,Brak danych,Brak danych
Delivery Manager,Wrocław,Tak,12 000,15 000
Assistant Manager / Manager (IT Audit),"Warszawa, +2 locations",Tak,Brak danych,Brak danych
Technical Programme Manager,Kraków,Nie,18 000,27 000
Technical Project Manager,"Warszawa, +2 locations",Tak,25 550,39 480
Senior IT Project Manager,Wrocław,Nie,21 840,25 200
Junior IT Project Manager,Warszawa,Nie,9 000,12 000
Project Manager,Poznań,Nie,4 500,6 000
Senior Project Manager,Gdańsk,Tak,21 336,25 200
Product Owner,Łódź,Nie,8 000,13 000
Project Manager (Team Lead),"Warszawa, +2 locations",Tak,Brak danych,Brak danych
Mid/Senior IT Project Manager,Wrocław,Tak,11 000,20 000
Delivery Manager,Warszawa,Tak,13 000,16 000
Project Manager,Warszawa,Nie,Brak danych,Brak danych
"Product Owner, SDKs","Katowice, +18 locations",Tak,19 000,24 000
Product Owner,"Warszawa, +2 locations",Tak,13 440,20 160
IT Project Manager / Kierownik Projektu,Warszawa,Nie,16 000,21 000
Product Owner,Kraków,Nie,15 000,20 000
Product Owner,"Gdańsk, +2 locations",Tak,12 600,19 300
Retail Project Manager,"Kraków, +2 locations",Nie,Brak danych,Brak danych
Senior Project Manager (POS roll out),"Kraków, +2 locations",Nie,Brak danych,Brak danych
Junior Database Platform Owner,Warszawa,Tak,Brak danych,Brak danych
Scrum Master,Warszawa,Nie,13 000,26 000
Project Manager,"Wrocław, +1 location",Tak,12 000,20 000
Project Manager,Wrocław,Nie,Brak danych,Brak danych
Lead Scrum Master,"Wrocław, +2 locations",Tak,Brak danych,Brak danych
Engineering Manager,"Warszawa, +2 locations",Tak,20 000,30 000
EUC Device Performance Lead,Kraków,Tak,Brak danych,Brak danych
Business Analyst / Product Owner,Warszawa,Tak,16 000,18 000
Engineering Program Manager,"Szczecin, +2 locations",Tak,11 400,15 400
Project Manager,Kraków,Nie,Brak danych,Brak danych
Sr. Technical Scrum Master,"Szczecin, +2 locations",Tak,11 400,15 400
Deployment Release Program Manager,"Szczecin, +2 locations",Tak,11 400,15 400
IT Project Manager,"Wrocław, +2 locations",Tak,Brak danych,Brak danych
Project Manager,"Wrocław, +2 locations",Tak,10 000,16 000
Linux Engineer / Team Lead – FinTech,Kraków,Nie,25 000,27 000
Product Owner,Warszawa,Nie,10 000,16 000
Junior PMO / Project Coordinator,Wrocław,Nie,11 500,18 000
Project Manager Officer,Wrocław,Nie,18 000,20 000
Product Owner,Wrocław,Nie,18 000,22 000
Manager - Software Engineering,Kraków,Nie,25 000,35 000
E-Commerce Project Manager,"Wrocław, +2 locations",Tak,10 000,15 000
Technology - Future Leaders Programme,Poznań,Nie,6 800,7 000
IT Project Manager,"Kraków, +2 locations",Tak,7 000,10 000
Senior Product Manager- Risk&Compliance,"Warszawa, +1 location",Nie,22 500,28 000
Senior Product Manager - Payments,"Warszawa, +1 location",Nie,22 500,28 000
IT Project Manager,Wrocław,Nie,12 000,17 000
Delivery Manager,Wrocław,Tak,15 000,22 000
Collaboration Content & Document Manager,Kraków,Nie,17 600,20 300
IT Project Manager,"Kraków, +2 locations",Tak,7 000,10 000
Senior Product Manager- Risk&Compliance,"Warszawa, +1 location",Nie,22 500,28 000
Senior Product Manager - Payments,"Warszawa, +1 location",Nie,22 500,28 000
IT Project Manager,Wrocław,Nie,12 000,17 000
Delivery Manager,Wrocław,Tak,15 000,22 000
Collaboration Content & Document Manager,Kraków,Nie,17 600,20 300
Product Owner e-commerce/retail,Warszawa,Tak,17 000,22 000
Regular Project Manager,Poznań,Nie,10 000,16 000
IT Project Manager,Wrocław,Tak,8 000,15 000
Scrum Master w obszarze IT,"Warszawa, +2 locations",Tak,Brak danych,Brak danych
Product Owner,Wrocław,Nie,15 000,18 000
Group Manager,Wrocław,Nie,Brak danych,Brak danych
Process Advisor,Warszawa,Nie,Brak danych,Brak danych
📊Analytics Project Manager,Poznań,Tak,9 000,10 500
Scrum Master,Kraków,Tak,Brak danych,Brak danych
IT Project Manager,"Kraków, +2 locations",Tak,12 000,19 500
Process Manager (SACM),"Warszawa, +2 locations",Tak,19 000,25 000
Project Manager,"Katowice, +2 locations",Tak,10 000,15 000
"eCom Project Manager (Shopify, PL&USA)",Kraków,Tak,10 000,18 000
Product Owner,Kraków,Tak,15 000,20 000
Junior Project Manager,Wrocław,Nie,4 500,7 000
Data Incident Response – Program Manager,Kraków,Tak,21 840,24 360
Principal Product Manager,Gdańsk,Nie,27 000,37 000
Project Manager,Wrocław,Tak,Brak danych,Brak danych
New Product Manager,Poznań,Nie,Brak danych,Brak danych
Scrum Master,Warszawa,Tak,21 840,26 880
Junior Product Owner,"Warszawa, +4 locations",Tak,6 000,8 000
Manager Software Engineering,Kraków,Nie,Brak danych,Brak danych
IT Coordinator,Częstochowa,Nie,9 000,13 000
Project Manager,Łódź,Nie,11 000,15 000
Product Owner with German,Warszawa,Nie,Brak danych,Brak danych
Product Owner,Kraków,Nie,16 000,25 500
Scrum (Agile) Master,Łódź,Tak,16 000,20 160
Project Manager,Elbląg,Nie,Brak danych,Brak danych
Product Manager,"Gdańsk, +1 location",Tak,Brak danych,Brak danych
Scrum Master,Gliwice,Tak,16 800,25 200
Release Manager / Project Manager,"Gdańsk, +1 location",Tak,Brak danych,Brak danych
Scrum Master,Wrocław,Tak,Brak danych,Brak danych
"Tech Product Owner, Sports Data Platform",Łódź,Nie,Brak danych,Brak danych
Product manager,"Kraków, +18 locations",Tak,12 600,18 600
IT Senior Product Manager,Warszawa,Nie,27 000,35 000
IT Project Manager,"Wrocław, +2 locations",Nie,10 000,17 000
Product Owner,"Limerick, +2 locations",Tak,18 580,19 740
Senior Agile Project Manager,"Wrocław, +3 locations",Tak,16 000,25 000
Project Manager,Wrocław,Tak,14 000,18 000
Senior Delivery Manager,Gdańsk,Tak,Brak danych,Brak danych
Junior Project Manager / Ambitious PMO,Lumen,Nie,6 000,8 000
Senior Product Manager,Warszawa,Tak,15 000,20 000
Senior Product Manager - Editor,Warszawa,Nie,15 000,20 000
Senior PM - Internal Products,Warszawa,Nie,15 000,20 000
Department Manager,Kraków,Nie,17 000,21 000
Product Data Analyst (m/f/d),Warszawa,Tak,Brak danych,Brak danych
Scrum Master,"Warszawa, +2 locations",Tak,10 000,13 000
Delivery Leader - Senior,"Wrocław, +2 locations",Tak,10 000,17 000
Agile Leader 🔥,Łódź,Tak,18 840,23 880
Delivery Leader,"Wrocław, +2 locations",Nie,10 000,17 000
Sr. Product Owner,"Szczecin, +2 locations",Tak,11 300,15 400
Sr. Product Manager,"Szczecin, +2 locations",Tak,14 600,20 000
"Director, Product Management","Szczecin, +2 locations",Tak,24 800,33 800
Agile Delivery Lead with German,Wrocław,Tak,18 000,23 500
BI Project Manager,Poznań,Tak,Brak danych,Brak danych
Agile Coach,"Gliwice, +1 location",Tak,15 000,20 000
Senior Product Manager (Fintech),Poznań,Tak,18 500,26 500
Product Owner,Kraków,Nie,Brak danych,Brak danych
Project Manager,Kraków,Nie,16 000,22 000
Senior Product Owner,Łódź,Tak,16 000,24 000
Project Lead,"Szczecin, +4 locations",Nie,10 000,17 000
Junior Scrum Master,Zielonka,Nie,Brak danych,Brak danych
Scrum Master,Gdańsk,Nie,Brak danych,Brak danych
Engineering Manager,"Madrid, +1 location",Tak,20 900,32 520
Project Manager,Wrocław,Tak,16 500,21 500
IT SAP Project Manager,Warszawa,Nie,Brak danych,Brak danych
Chapter Lead Project Management IT,"Wrocław, +2 locations",Nie,16 000,26 000
Senior IT Project Manager,"Wrocław, +2 locations",Nie,16 000,21 000
(A True) Scrum Master,Kraków,Nie,14 000,19 000
Scrum Master,Warszawa,Tak,12 000,16 800
Agile Coach Lead,Warszawa,Tak,19 500,27 000
Engineering Manager,Warszawa,Nie,Brak danych,Brak danych
TL / Scrum Master with techn. background,"Warszawa, +1 location",Tak,18 000,20 000
Project Manager,Wrocław,Nie,7 000,14 000
IT Project Manager,Kraków,Tak,10 000,16 000
Product Manager,Wrocław,Tak,10 000,14 000
