,nazwa,miasto,zdalnie,zarobki_min,zarobki_max
66,Remote Mid JavaScript Developer,Nie podano,Tak,12 000,18 000
67,Remote Senior JavaScript Developer,Nie podano,Tak,18 000,25 000
68,"React, React Native Developer",Nie podano,Tak,14 000,20 000
69,Junior JavaScript Developer,"Gdynia, Warszawa",Tak,9 500,12 500
70,Junior JavaScript Developer,"Gdynia, Warszawa",Tak,9 500,12 500
71,Junior JavaScript Developer,"Białystok, Lublin",Tak,9 500,12 500
72,Junior JavaScript Developer,"Gdynia, Warszawa",Tak,9 500,12 500
73,Junior JavaScript Developer,"Białystok, Lublin",Tak,9 500,12 500
74,Front-end Developer (Vue.js),Nie podano,Tak,7 000,14 000
75,Frontend Angular Developer,Nie podano,Tak,12 000,18 000
76,Senior Node.js Developer,Nie podano,Tak,13 400,25 000
77,Node Developer,Nie podano,Tak,12 000,24 000
78,Angular Senior Developer,Nie podano,Tak,14 000,19 000
79,Front-end Engineer,Nie podano,Tak,16 000,20 800
80,Node.js Developer,Nie podano,Tak,6 700,15 000
81,JavaScript Developer,Nie podano,Nie,Brak danych,Brak danych
82,Front-end Developer,Nie podano,Tak,Brak danych,Brak danych
83,Senior Frontend Software Engineer,Nie podano,Tak,14 000,18 000
84,Frontend Developer,Nie podano,Tak,Brak danych,Brak danych
85,Frontend Developer,Nie podano,Tak,Brak danych,Brak danych
86,Frontend Developer,Nie podano,Tak,Brak danych,Brak danych
87,Frontend Developer (GDSA),Nie podano,Tak,Brak danych,Brak danych
88,Frontend React Developer,Nie podano,Tak,12 000,26 000
89,Frontend Developer,Nie podano,Tak,10 000,17 000
90,Senior React Developer,"Gdańsk, Lublin, Warszawa",Tak,23 500,30 200
91,Frontend React Developer,Nie podano,Tak,8 000,14 000
92,Frontend Developer Commerzbank,Nie podano,Tak,Brak danych,Brak danych
93,Web Game Developer,Nie podano,Tak,10 000,15 000
94,"Senior Fullstack Developer (Java, React)",Nie podano,Tak,Brak danych,Brak danych
95,Front-end Developer with React JS,Nie podano,Tak,Brak danych,Brak danych
96,Senior Angular Developer,Nie podano,Tak,Brak danych,Brak danych
97,React Developer,Nie podano,Tak,Brak danych,Brak danych
98,React Mid Developer,Nie podano,Tak,9 000,14 000
99,Front-End Tech Lead,"Kraków, Szczecin, Warszawa, Wrocław",Tak,Brak danych,Brak danych
100,Frontend Developer,Nie podano,Tak,13 000,17 000
101,Junior Test Automation Engineer - Trade Finance,Nie podano,Tak,Brak danych,Brak danych
102,Frontend React Developer,Nie podano,Tak,12 000,26 000
103,Frontend Angular Software Engineer,Nie podano,Tak,Brak danych,Brak danych
104,React Software Developer,Nie podano,Tak,Brak danych,Brak danych
105,Senior Java Developer with JavaScript,Nie podano,Nie,Brak danych,Brak danych
106,Angular Developer,Nie podano,Tak,Brak danych,Brak danych
107,Vue.js/Node.js Fullstack Developer,Nie podano,Tak,20 000,28 000
108,Frontend Developer (React),Nie podano,Tak,Brak danych,Brak danych
109,Junior JavaScript Developer,"Lublin, Wrocław",Tak,9 500,12 500
110,Senior React Developer,"Kraków, Lublin, Wrocław",Tak,23 500,30 200
111,Junior JavaScript Developer,"Katowice, Łódź",Tak,9 500,12 500
112,Mid Node.js Developer,Nie podano,Tak,Brak danych,Brak danych
113,Programista Front-End,"Białystok, Kielce, Łódź, Poznań, Zielona Góra",Tak,Brak danych,Brak danych
114,Senior Node.js Backend Developer,Nie podano,Tak,Brak danych,Brak danych
115,Senior Backend Developer,Nie podano,Tak,Brak danych,Brak danych
116,Lead Engineering Manager (BE Background),Nie podano,Tak,Brak danych,Brak danych
117,Senior React Developer,"Kraków, Lublin, Wrocław",Tak,23 500,30 200
118,Senior React & Typescript Developer,Nie podano,Tak,11 000,15 000
119,Backend and AWS Software Engineer,Nie podano,Tak,11 000,15 000
120,Programista JavaScript/React,Nie podano,Tak,Brak danych,Brak danych
121,Programista Front-End,"Białystok, Kielce, Łódź, Poznań, Zielona Góra",Tak,Brak danych,Brak danych
122,Senior React Developer,Nie podano,Tak,22 000,26 500
123,Programista front-end - projekt public,Nie podano,Tak,Brak danych,Brak danych
124,Programista front-end,Nie podano,Tak,Brak danych,Brak danych
125,Frontend Developer,Nie podano,Tak,12 000,20 000
126,Junior JavaScript Developer,"Lublin, Warszawa",Tak,9 500,12 500
127,Junior JavaScript Developer,"Białystok, Lublin",Tak,9 500,12 500
128,Junior JavaScript Developer,"Gdynia, Warszawa",Tak,9 500,12 500
129,SAPUI5 Developer,Nie podano,Tak,Brak danych,Brak danych
130,Node.js Developer,Nie podano,Tak,Brak danych,Brak danych
131,Senior React Developer,"Gdańsk, Lublin, Warszawa",Tak,23 500,30 200
132,Programista Front-End,"Gdańsk, Katowice, Kraków, Lublin, Warszawa",Tak,Brak danych,Brak danych
133,Senior React Developer,"Gdańsk, Lublin, Warszawa",Tak,23 500,30 200
134,Senior React Developer,"Gdańsk, Lublin, Warszawa",Tak,23 500,30 200
135,Senior React Developer,"Kraków, Warszawa, Wrocław",Tak,23 500,30 200
136,Senior React Developer,"Kraków, Warszawa, Wrocław",Tak,23 500,30 200
137,Senior Frontend Developer,Nie podano,Tak,14 100,23 000
138,Junior JavaScript Developer,"Sztokholm, Wrocław",Tak,9 500,12 500
139,Junior JavaScript Developer,"Sztokholm, Wrocław",Tak,9 500,12 500
140,Fullstack Node.js Developer with React,Nie podano,Tak,22 000,28 000
141,React Developer,Nie podano,Tak,12 000,20 000
142,Node.js Developer,Nie podano,Tak,10 000,20 000
143,Senior React Developer,Nie podano,Tak,20 000,32 000
144,Junior Software Engineer,Nie podano,Tak,5 000,8 500
