,nazwa,miasto,zdalnie,zarobki_min,zarobki_max
41,Senior CPU/GPU high performance compute engineer,Nie podano,Tak,Brak danych,Brak danych
42,C/C++ Engineer,Nie podano,Tak,Brak danych,Brak danych
43,Graphics Software Developer,Nie podano,Tak,Brak danych,Brak danych
44,Embedded C Developer,Nie podano,Tak,10 000,15 000
45,Embedded C & Python Developer,Nie podano,Tak,10 000,16 000
46,Embedded Linux Developer,Nie podano,Tak,9 000,16 000
47,Embedded C Security Developer,Nie podano,Tak,8 000,14 000
48,Embedded C Developer,Nie podano,Tak,8 000,14 000
49,Embedded C Developer,Nie podano,Tak,8 000,14 000
50,System Firmware Engineer (Device),Nie podano,Tak,Brak danych,Brak danych
51,Software Developer (ASPICE),"Gdańsk, Wrocław",Nie,Brak danych,Brak danych
52,Software Developer (ASPICE),"Kraków, Wrocław",Nie,Brak danych,Brak danych
53,Senior Software Developer C/C++,"Białystok, Bydgoszcz, Częstochowa, Gdańsk, Gliwice, Katowice, Kraków, Łódź, Poznań, Rzeszów, Szczecin, Warszawa, Wrocław",Tak,Brak danych,Brak danych
54,Asseco Starter - Elektronik/Programista,Nie podano,Tak,Brak danych,Brak danych
55,C Embedded Tester (obszar V&V),Nie podano,Tak,Brak danych,Brak danych
56,System Firmware Engineer (Device),"Białystok, Bydgoszcz, Częstochowa, Gdańsk, Gliwice, Katowice, Kraków, Łódź, Lublin, Rzeszów, Warszawa, Wrocław",Tak,Brak danych,Brak danych
57,Embedded C Developer,"Białystok, Bydgoszcz, Częstochowa, Gdańsk, Gliwice, Katowice, Kraków, Łódź, Rzeszów, Warszawa, Wrocław",Tak,8 000,14 000
58,Staff Firmware Innovation Engineer,Nie podano,Tak,Brak danych,Brak danych
59,Senior C/C++ Engineer,Nie podano,Tak,Brak danych,Brak danych
60,Software Developer (ASPICE),Nie podano,Tak,Brak danych,Brak danych
61,Senior CPU/GPU high performance compute engineer,Nie podano,Tak,Brak danych,Brak danych
62,C/C++ Engineer,Nie podano,Tak,Brak danych,Brak danych
63,Graphics Software Developer,Nie podano,Tak,Brak danych,Brak danych
64,Embedded C Developer,Nie podano,Tak,10 000,15 000
65,Embedded C & Python Developer,Nie podano,Tak,10 000,16 000
66,Embedded Linux Developer,Nie podano,Tak,9 000,16 000
67,Embedded C Security Developer,Nie podano,Tak,8 000,14 000
68,Embedded C Developer,Nie podano,Tak,8 000,14 000
69,Embedded C Developer,Nie podano,Tak,8 000,14 000
70,System Firmware Engineer (Device),Nie podano,Tak,Brak danych,Brak danych
71,Software Developer (ASPICE),"Gdańsk, Wrocław",Nie,Brak danych,Brak danych
72,Software Developer (ASPICE),"Kraków, Wrocław",Nie,Brak danych,Brak danych
73,Senior Software Developer C/C++,"Białystok, Bydgoszcz, Częstochowa, Gdańsk, Gliwice, Katowice, Kraków, Łódź, Poznań, Rzeszów, Szczecin, Warszawa, Wrocław",Tak,Brak danych,Brak danych
74,Asseco Starter - Elektronik/Programista,Nie podano,Tak,Brak danych,Brak danych
75,C Embedded Tester (obszar V&V),Nie podano,Tak,Brak danych,Brak danych
76,System Firmware Engineer (Device),"Białystok, Bydgoszcz, Częstochowa, Gdańsk, Gliwice, Katowice, Kraków, Łódź, Lublin, Rzeszów, Warszawa, Wrocław",Tak,Brak danych,Brak danych
77,Embedded C Developer,"Białystok, Bydgoszcz, Częstochowa, Gdańsk, Gliwice, Katowice, Kraków, Łódź, Rzeszów, Warszawa, Wrocław",Tak,8 000,14 000
78,Staff Firmware Innovation Engineer,Nie podano,Tak,Brak danych,Brak danych
79,Senior C/C++ Engineer,Nie podano,Tak,Brak danych,Brak danych
80,Software Developer (ASPICE),Nie podano,Tak,Brak danych,Brak danych
81,Senior CPU/GPU high performance compute engineer,Nie podano,Tak,Brak danych,Brak danych
82,C/C++ Engineer,Nie podano,Tak,Brak danych,Brak danych
83,Graphics Software Developer,Nie podano,Tak,Brak danych,Brak danych
84,Embedded C Developer,Nie podano,Tak,10 000,15 000
85,Embedded C & Python Developer,Nie podano,Tak,10 000,16 000
86,Embedded Linux Developer,Nie podano,Tak,9 000,16 000
87,Embedded C Security Developer,Nie podano,Tak,8 000,14 000
88,Embedded C Developer,Nie podano,Tak,8 000,14 000
89,Embedded C Developer,Nie podano,Tak,8 000,14 000
90,System Firmware Engineer (Device),Nie podano,Tak,Brak danych,Brak danych
91,Software Developer (ASPICE),"Gdańsk, Wrocław",Nie,Brak danych,Brak danych
92,Software Developer (ASPICE),"Kraków, Wrocław",Nie,Brak danych,Brak danych
93,Senior Software Developer C/C++,"Białystok, Bydgoszcz, Częstochowa, Gdańsk, Gliwice, Katowice, Kraków, Łódź, Poznań, Rzeszów, Szczecin, Warszawa, Wrocław",Tak,Brak danych,Brak danych
94,Asseco Starter - Elektronik/Programista,Nie podano,Tak,Brak danych,Brak danych
95,C Embedded Tester (obszar V&V),Nie podano,Tak,Brak danych,Brak danych
96,System Firmware Engineer (Device),"Białystok, Bydgoszcz, Częstochowa, Gdańsk, Gliwice, Katowice, Kraków, Łódź, Lublin, Rzeszów, Warszawa, Wrocław",Tak,Brak danych,Brak danych
97,Embedded C Developer,"Białystok, Bydgoszcz, Częstochowa, Gdańsk, Gliwice, Katowice, Kraków, Łódź, Rzeszów, Warszawa, Wrocław",Tak,8 000,14 000
98,Staff Firmware Innovation Engineer,Nie podano,Tak,Brak danych,Brak danych
99,Senior C/C++ Engineer,Nie podano,Tak,Brak danych,Brak danych
100,Software Developer (ASPICE),Nie podano,Tak,Brak danych,Brak danych
101,Senior CPU/GPU high performance compute engineer,Nie podano,Tak,Brak danych,Brak danych
102,C/C++ Engineer,Nie podano,Tak,Brak danych,Brak danych
103,Graphics Software Developer,Nie podano,Tak,Brak danych,Brak danych
104,Embedded C Developer,Nie podano,Tak,10 000,15 000
105,Embedded C & Python Developer,Nie podano,Tak,10 000,16 000
106,Embedded Linux Developer,Nie podano,Tak,9 000,16 000
107,Embedded C Security Developer,Nie podano,Tak,8 000,14 000
108,Embedded C Developer,Nie podano,Tak,8 000,14 000
109,Embedded C Developer,Nie podano,Tak,8 000,14 000
110,System Firmware Engineer (Device),Nie podano,Tak,Brak danych,Brak danych
111,Software Developer (ASPICE),"Gdańsk, Wrocław",Nie,Brak danych,Brak danych
112,Software Developer (ASPICE),"Kraków, Wrocław",Nie,Brak danych,Brak danych
113,Senior Software Developer C/C++,"Białystok, Bydgoszcz, Częstochowa, Gdańsk, Gliwice, Katowice, Kraków, Łódź, Poznań, Rzeszów, Szczecin, Warszawa, Wrocław",Tak,Brak danych,Brak danych
114,Asseco Starter - Elektronik/Programista,Nie podano,Tak,Brak danych,Brak danych
115,C Embedded Tester (obszar V&V),Nie podano,Tak,Brak danych,Brak danych
116,System Firmware Engineer (Device),"Białystok, Bydgoszcz, Częstochowa, Gdańsk, Gliwice, Katowice, Kraków, Łódź, Lublin, Rzeszów, Warszawa, Wrocław",Tak,Brak danych,Brak danych
117,Embedded C Developer,"Białystok, Bydgoszcz, Częstochowa, Gdańsk, Gliwice, Katowice, Kraków, Łódź, Rzeszów, Warszawa, Wrocław",Tak,8 000,14 000
118,Staff Firmware Innovation Engineer,Nie podano,Tak,Brak danych,Brak danych
119,Senior C/C++ Engineer,Nie podano,Tak,Brak danych,Brak danych
120,Software Developer (ASPICE),Nie podano,Tak,Brak danych,Brak danych
121,Senior CPU/GPU high performance compute engineer,Nie podano,Tak,Brak danych,Brak danych
122,C/C++ Engineer,Nie podano,Tak,Brak danych,Brak danych
123,Graphics Software Developer,Nie podano,Tak,Brak danych,Brak danych
124,Embedded C Developer,Nie podano,Tak,10 000,15 000
125,Embedded C & Python Developer,Nie podano,Tak,10 000,16 000
126,Embedded Linux Developer,Nie podano,Tak,9 000,16 000
127,Embedded C Security Developer,Nie podano,Tak,8 000,14 000
128,Embedded C Developer,Nie podano,Tak,8 000,14 000
129,Embedded C Developer,Nie podano,Tak,8 000,14 000
130,System Firmware Engineer (Device),Nie podano,Tak,Brak danych,Brak danych
131,Software Developer (ASPICE),"Gdańsk, Wrocław",Nie,Brak danych,Brak danych
132,Software Developer (ASPICE),"Kraków, Wrocław",Nie,Brak danych,Brak danych
133,Senior Software Developer C/C++,"Białystok, Bydgoszcz, Częstochowa, Gdańsk, Gliwice, Katowice, Kraków, Łódź, Poznań, Rzeszów, Szczecin, Warszawa, Wrocław",Tak,Brak danych,Brak danych
134,Asseco Starter - Elektronik/Programista,Nie podano,Tak,Brak danych,Brak danych
135,C Embedded Tester (obszar V&V),Nie podano,Tak,Brak danych,Brak danych
136,System Firmware Engineer (Device),"Białystok, Bydgoszcz, Częstochowa, Gdańsk, Gliwice, Katowice, Kraków, Łódź, Lublin, Rzeszów, Warszawa, Wrocław",Tak,Brak danych,Brak danych
137,Embedded C Developer,"Białystok, Bydgoszcz, Częstochowa, Gdańsk, Gliwice, Katowice, Kraków, Łódź, Rzeszów, Warszawa, Wrocław",Tak,8 000,14 000
138,Staff Firmware Innovation Engineer,Nie podano,Tak,Brak danych,Brak danych
139,Senior C/C++ Engineer,Nie podano,Tak,Brak danych,Brak danych
140,Software Developer (ASPICE),Nie podano,Tak,Brak danych,Brak danych
141,Senior CPU/GPU high performance compute engineer,Nie podano,Tak,Brak danych,Brak danych
142,C/C++ Engineer,Nie podano,Tak,Brak danych,Brak danych
143,Graphics Software Developer,Nie podano,Tak,Brak danych,Brak danych
144,Embedded C Developer,Nie podano,Tak,10 000,15 000
145,Embedded C & Python Developer,Nie podano,Tak,10 000,16 000
146,Embedded Linux Developer,Nie podano,Tak,9 000,16 000
147,Embedded C Security Developer,Nie podano,Tak,8 000,14 000
148,Embedded C Developer,Nie podano,Tak,8 000,14 000
149,Embedded C Developer,Nie podano,Tak,8 000,14 000
150,System Firmware Engineer (Device),Nie podano,Tak,Brak danych,Brak danych
151,Software Developer (ASPICE),"Gdańsk, Wrocław",Nie,Brak danych,Brak danych
152,Software Developer (ASPICE),"Kraków, Wrocław",Nie,Brak danych,Brak danych
153,Senior Software Developer C/C++,"Białystok, Bydgoszcz, Częstochowa, Gdańsk, Gliwice, Katowice, Kraków, Łódź, Poznań, Rzeszów, Szczecin, Warszawa, Wrocław",Tak,Brak danych,Brak danych
154,Asseco Starter - Elektronik/Programista,Nie podano,Tak,Brak danych,Brak danych
155,C Embedded Tester (obszar V&V),Nie podano,Tak,Brak danych,Brak danych
156,System Firmware Engineer (Device),"Białystok, Bydgoszcz, Częstochowa, Gdańsk, Gliwice, Katowice, Kraków, Łódź, Lublin, Rzeszów, Warszawa, Wrocław",Tak,Brak danych,Brak danych
157,Embedded C Developer,"Białystok, Bydgoszcz, Częstochowa, Gdańsk, Gliwice, Katowice, Kraków, Łódź, Rzeszów, Warszawa, Wrocław",Tak,8 000,14 000
158,Staff Firmware Innovation Engineer,Nie podano,Tak,Brak danych,Brak danych
159,Senior C/C++ Engineer,Nie podano,Tak,Brak danych,Brak danych
160,Software Developer (ASPICE),Nie podano,Tak,Brak danych,Brak danych
161,Senior CPU/GPU high performance compute engineer,Nie podano,Tak,Brak danych,Brak danych
162,C/C++ Engineer,Nie podano,Tak,Brak danych,Brak danych
163,Graphics Software Developer,Nie podano,Tak,Brak danych,Brak danych
164,Embedded C Developer,Nie podano,Tak,10 000,15 000
165,Embedded C & Python Developer,Nie podano,Tak,10 000,16 000
166,Embedded Linux Developer,Nie podano,Tak,9 000,16 000
167,Embedded C Security Developer,Nie podano,Tak,8 000,14 000
168,Embedded C Developer,Nie podano,Tak,8 000,14 000
169,Embedded C Developer,Nie podano,Tak,8 000,14 000
170,System Firmware Engineer (Device),Nie podano,Tak,Brak danych,Brak danych
171,Software Developer (ASPICE),"Gdańsk, Wrocław",Nie,Brak danych,Brak danych
172,Software Developer (ASPICE),"Kraków, Wrocław",Nie,Brak danych,Brak danych
173,Senior Software Developer C/C++,"Białystok, Bydgoszcz, Częstochowa, Gdańsk, Gliwice, Katowice, Kraków, Łódź, Poznań, Rzeszów, Szczecin, Warszawa, Wrocław",Tak,Brak danych,Brak danych
174,Asseco Starter - Elektronik/Programista,Nie podano,Tak,Brak danych,Brak danych
175,C Embedded Tester (obszar V&V),Nie podano,Tak,Brak danych,Brak danych
176,System Firmware Engineer (Device),"Białystok, Bydgoszcz, Częstochowa, Gdańsk, Gliwice, Katowice, Kraków, Łódź, Lublin, Rzeszów, Warszawa, Wrocław",Tak,Brak danych,Brak danych
177,Embedded C Developer,"Białystok, Bydgoszcz, Częstochowa, Gdańsk, Gliwice, Katowice, Kraków, Łódź, Rzeszów, Warszawa, Wrocław",Tak,8 000,14 000
178,Staff Firmware Innovation Engineer,Nie podano,Tak,Brak danych,Brak danych
179,Senior C/C++ Engineer,Nie podano,Tak,Brak danych,Brak danych
180,Software Developer (ASPICE),Nie podano,Tak,Brak danych,Brak danych
181,Senior CPU/GPU high performance compute engineer,Nie podano,Tak,Brak danych,Brak danych
182,C/C++ Engineer,Nie podano,Tak,Brak danych,Brak danych
183,Graphics Software Developer,Nie podano,Tak,Brak danych,Brak danych
184,Embedded C Developer,Nie podano,Tak,10 000,15 000
185,Embedded C & Python Developer,Nie podano,Tak,10 000,16 000
186,Embedded Linux Developer,Nie podano,Tak,9 000,16 000
187,Embedded C Security Developer,Nie podano,Tak,8 000,14 000
188,Embedded C Developer,Nie podano,Tak,8 000,14 000
189,Embedded C Developer,Nie podano,Tak,8 000,14 000
190,System Firmware Engineer (Device),Nie podano,Tak,Brak danych,Brak danych
191,Software Developer (ASPICE),"Gdańsk, Wrocław",Nie,Brak danych,Brak danych
192,Software Developer (ASPICE),"Kraków, Wrocław",Nie,Brak danych,Brak danych
193,Senior Software Developer C/C++,"Białystok, Bydgoszcz, Częstochowa, Gdańsk, Gliwice, Katowice, Kraków, Łódź, Poznań, Rzeszów, Szczecin, Warszawa, Wrocław",Tak,Brak danych,Brak danych
194,Asseco Starter - Elektronik/Programista,Nie podano,Tak,Brak danych,Brak danych
195,C Embedded Tester (obszar V&V),Nie podano,Tak,Brak danych,Brak danych
196,System Firmware Engineer (Device),"Białystok, Bydgoszcz, Częstochowa, Gdańsk, Gliwice, Katowice, Kraków, Łódź, Lublin, Rzeszów, Warszawa, Wrocław",Tak,Brak danych,Brak danych
197,Embedded C Developer,"Białystok, Bydgoszcz, Częstochowa, Gdańsk, Gliwice, Katowice, Kraków, Łódź, Rzeszów, Warszawa, Wrocław",Tak,8 000,14 000
198,Staff Firmware Innovation Engineer,Nie podano,Tak,Brak danych,Brak danych
199,Senior C/C++ Engineer,Nie podano,Tak,Brak danych,Brak danych
200,Software Developer (ASPICE),Nie podano,Tak,Brak danych,Brak danych
201,Senior CPU/GPU high performance compute engineer,Nie podano,Tak,Brak danych,Brak danych
202,C/C++ Engineer,Nie podano,Tak,Brak danych,Brak danych
203,Graphics Software Developer,Nie podano,Tak,Brak danych,Brak danych
204,Embedded C Developer,Nie podano,Tak,10 000,15 000
205,Embedded C & Python Developer,Nie podano,Tak,10 000,16 000
206,Embedded Linux Developer,Nie podano,Tak,9 000,16 000
207,Embedded C Security Developer,Nie podano,Tak,8 000,14 000
208,Embedded C Developer,Nie podano,Tak,8 000,14 000
209,Embedded C Developer,Nie podano,Tak,8 000,14 000
210,System Firmware Engineer (Device),Nie podano,Tak,Brak danych,Brak danych
211,Software Developer (ASPICE),"Gdańsk, Wrocław",Nie,Brak danych,Brak danych
212,Software Developer (ASPICE),"Kraków, Wrocław",Nie,Brak danych,Brak danych
213,Senior Software Developer C/C++,"Białystok, Bydgoszcz, Częstochowa, Gdańsk, Gliwice, Katowice, Kraków, Łódź, Poznań, Rzeszów, Szczecin, Warszawa, Wrocław",Tak,Brak danych,Brak danych
214,Asseco Starter - Elektronik/Programista,Nie podano,Tak,Brak danych,Brak danych
215,C Embedded Tester (obszar V&V),Nie podano,Tak,Brak danych,Brak danych
216,System Firmware Engineer (Device),"Białystok, Bydgoszcz, Częstochowa, Gdańsk, Gliwice, Katowice, Kraków, Łódź, Lublin, Rzeszów, Warszawa, Wrocław",Tak,Brak danych,Brak danych
217,Embedded C Developer,"Białystok, Bydgoszcz, Częstochowa, Gdańsk, Gliwice, Katowice, Kraków, Łódź, Rzeszów, Warszawa, Wrocław",Tak,8 000,14 000
218,Staff Firmware Innovation Engineer,Nie podano,Tak,Brak danych,Brak danych
