,nazwa,miasto,zdalnie,zarobki_min,zarobki_max
51,Cloud Developer Fullstack (SAP BTP),"Berlin, Kempten (Allgäu), Kraków, Paryż, Ulm",Tak,14 500,17 500
52,Full-stack Software Developer (f/m/d),Nie podano,Tak,Brak danych,Brak danych
53,Experienced Java Developer (f/m/d),Nie podano,Tak,Brak danych,Brak danych
54,Senior Java Developer,"Katowice, Łódź",Tak,19 000,25 400
55,Junior Android Developer,Nie podano,Tak,13 600,16 100
56,Programista Java,Nie podano,Tak,Brak danych,Brak danych
57,Java Cloud Developer,"Białystok, Gdańsk, Kraków, Łódź, Lublin, Poznań, Szczecin, Warszawa, Wrocław",Tak,13 500,22 100
58,Lead Developer/Architect,"Gdańsk, Kraków, Łódź, Poznań, Warszawa, Wrocław",Tak,20 000,25 000
59,Senior Backend Java Engineers,Nie podano,Tak,17 000,25 000
60,Senior Manager Software Engineering (SRE),Nie podano,Tak,23 900,28 700
61,Senior Java Backend Developer,Nie podano,Tak,14 000,20 000
62,Senior Manager Software Engineering,Nie podano,Tak,23 900,28 700
63,Cloud Software Developer (Intelligent Selling Services),"Gdańsk, Lublin, Warszawa",Tak,13 000,17 700
64,Java Developer,Nie podano,Nie,Brak danych,Brak danych
65,Regular/Senior L2/L3 Technical Support Engineer,Nie podano,Tak,Brak danych,Brak danych
66,Senior Java Developer,Nie podano,Tak,Brak danych,Brak danych
67,Senior Java Developer,Nie podano,Nie,Brak danych,Brak danych
68,Java Developer,Nie podano,Tak,Brak danych,Brak danych
69,Java Full Stack Developer,Nie podano,Tak,Brak danych,Brak danych
70,Senior Java Developer with Microservices,Nie podano,Tak,Brak danych,Brak danych
71,Java/Golang Developer,Nie podano,Tak,Brak danych,Brak danych
72,Senior Java Engineer,Nie podano,Tak,Brak danych,Brak danych
73,Java Developer,Nie podano,Nie,Brak danych,Brak danych
74,Java Software Engineer,Nie podano,Nie,Brak danych,Brak danych
75,Senior Java Developer,Nie podano,Nie,Brak danych,Brak danych
76,Senior Full stack java developer,Nie podano,Tak,Brak danych,Brak danych
77,Senior Java developer,Nie podano,Tak,Brak danych,Brak danych
78,Java Developer,Nie podano,Tak,Brak danych,Brak danych
79,Android Developer,Nie podano,Tak,15 000,26 000
80,Senior Java Developer,Nie podano,Nie,Brak danych,Brak danych
81,Fullstack Java Developer,Nie podano,Tak,Brak danych,Brak danych
82,Senior Java Engineer,Nie podano,Tak,6 000,30 000
83,Senior Software Engineer,"Katowice, Kielce, Kraków, Warszawa",Tak,7 200,14 500
84,Senior Java Developer,Nie podano,Tak,17 000,25 000
85,Senior Software Engineer,Nie podano,Tak,Brak danych,Brak danych
86,Java AEM Developer (Regular/Senior),Nie podano,Tak,Brak danych,Brak danych
87,Senior Fullstack Java/React Developer,Nie podano,Tak,9 000,15 000
88,Senior Backend Java Developer,Nie podano,Tak,9 000,17 500
89,Java Developer,Nie podano,Tak,Brak danych,Brak danych
90,Backend Java/SQL Developer,Nie podano,Tak,14 000,20 000
91,Java Software Developer,Nie podano,Tak,Brak danych,Brak danych
92,Senior Java Backend Developer,Nie podano,Tak,14 000,18 000
93,Java Developer,Nie podano,Tak,Brak danych,Brak danych
94,Java Software Engineer,Nie podano,Tak,Brak danych,Brak danych
95,Senior Java Developer,"Katowice, Warszawa",Tak,19 000,25 400
96,Senior Java Developer,"Warszawa, Wrocław",Tak,19 000,25 400
97,Java Developer,Nie podano,Tak,Brak danych,Brak danych
98,Cloud Developer Fullstack (SAP BTP),"Białystok, Kielce, Łódź, Poznań, Zielona Góra",Tak,14 500,17 500
99,Java Developer,Nie podano,Tak,Brak danych,Brak danych
100,Senior Software Engineer,"Lublin, Rzeszów, Warszawa, Zielona Góra",Tak,7 200,14 500
101,Senior Java Developer,"Kraków, Wrocław",Tak,19 000,25 400
102,Cloud Developer Fullstack (SAP BTP),"Katowice, Kraków, Poznań, Warszawa, Wrocław",Tak,14 500,17 500
103,Java Backend Developer,Nie podano,Tak,11 000,17 000
104,Cloud Developer Fullstack (SAP BTP),"Bielsko-Biała, Katowice, Kraków, Płock, Rzeszów",Tak,14 500,17 500
105,Cloud Software Developer (Intelligent Selling Services),"Katowice, Kraków, Rzeszów",Tak,13 000,17 700
106,Senior Java Backend Developer,Nie podano,Tak,14 000,20 000
107,Senior Java Developer,"Katowice, Warszawa",Nie,19 000,25 400
108,Asseco Starter - Programista Full Stack,Nie podano,Tak,Brak danych,Brak danych
109,Asseco Starter - Programista Full Stack,Nie podano,Tak,Brak danych,Brak danych
110,Asseco Starter - Programista Full Stack,Nie podano,Tak,Brak danych,Brak danych
111,Asseco Starter - Programista Java,Nie podano,Tak,Brak danych,Brak danych
112,Senior Java Developer,"Łódź, Warszawa",Nie,19 000,25 400
113,Fullstack Java Developer (Angular),Nie podano,Tak,Brak danych,Brak danych
114,Senior Java Developer,"Katowice, Łódź",Tak,19 000,25 400
115,Cloud Software Developer (Intelligent Selling Services),"Katowice, Kielce, Kraków",Tak,13 000,17 700
116,Regular Java Developer,Nie podano,Tak,Brak danych,Brak danych
117,Senior Java developer,Nie podano,Tak,Brak danych,Brak danych
118,Junior Java Developer,Nie podano,Tak,8 400,12 800
119,Senior Software Engineer,"Gdańsk, Kraków, Warszawa, Wrocław",Tak,7 200,14 500
120,Java full stack developer,Nie podano,Tak,Brak danych,Brak danych
121,Java full stack developer,Nie podano,Tak,Brak danych,Brak danych
122,Senior Java Developer,Nie podano,Tak,Brak danych,Brak danych
123,Regular Java Software Developer,Nie podano,Tak,Brak danych,Brak danych
124,Lead Java Developer,Nie podano,Tak,Brak danych,Brak danych
125,Oracle Developer,Nie podano,Tak,Brak danych,Brak danych
126,Senior Java Developer,"Katowice, Warsaw",Nie,19 000,25 400
127,Regular / Senior Full-Stack Developer,Nie podano,Tak,Brak danych,Brak danych
128,Senior Java Developer,Nie podano,Tak,Brak danych,Brak danych
129,Java Developer,Nie podano,Tak,Brak danych,Brak danych
130,Java Full stack Developer,Nie podano,Tak,Brak danych,Brak danych
131,Senior Java Developer,"Krakow, Wrocław",Nie,19 000,25 400
132,Senior Software Engineer,"Gdańsk, Katowice, Krakow, Warsaw",Tak,7 200,14 500
133,Senior Java Developer,"Gdynia, Warsaw",Tak,19 000,25 400
134,Senior Java Developer,"Białystok, Lublin",Tak,19 000,25 400
135,Senior Java Developer,"Białystok, Lublin",Tak,19 000,25 400
136,Senior Java Developer,"Gdynia, Warsaw",Tak,19 000,25 400
137,Senior Java Developer,"Katowice, Łódź",Tak,19 000,25 400
138,Java Tech Lead,Nie podano,Tak,Brak danych,Brak danych
139,Senior Java Developer,"Katowice, Łódź",Tak,19 000,25 400
140,Senior Java Developer,Nie podano,Tak,Brak danych,Brak danych
141,Senior Java Developer,"Katowice, Łódź",Tak,19 000,25 400
142,Fullstack Java Developer,Nie podano,Tak,Brak danych,Brak danych
143,Asseco Starter - Programista Java,Nie podano,Tak,Brak danych,Brak danych
144,Asseco Starter - Programista Full Stack,Nie podano,Tak,Brak danych,Brak danych
145,Senior Java Backend Developer,Nie podano,Tak,Brak danych,Brak danych
146,IT Integration Specialist,Nie podano,Tak,Brak danych,Brak danych
147,Asseco Starter - Programista Full Stack,Nie podano,Tak,Brak danych,Brak danych
148,Senior Java Developer,"Gdynia, Katowice",Tak,19 000,25 400
149,Java Developer/Trainer,Nie podano,Tak,Brak danych,Brak danych
150,Technical Team Leader,Nie podano,Tak,Brak danych,Brak danych
151,Cloud Software Developer (Intelligent Selling Services),"Gdańsk, Lublin, Warszawa",Tak,13 000,17 700
152,Java Developer,Nie podano,Tak,11 000,17 000
153,Cloud Software Developer (Intelligent Selling Services),"Gdańsk, Lublin, Warszawa",Tak,13 000,17 700
154,Cloud Software Developer (Intelligent Selling Services),"Gdańsk, Lublin, Warszawa",Tak,13 000,17 700
155,Cloud Software Developer (Intelligent Selling Services),"Gdańsk, Lublin, Warszawa",Tak,13 000,17 700
156,Cloud Software Developer (Intelligent Selling Services),"Gdańsk, Lublin, Warszawa",Tak,13 000,17 700
157,Cloud Software Developer (Intelligent Selling Services),"Gdańsk, Lublin, Warszawa",Tak,13 000,17 700
158,Senior Project Manager,Nie podano,Tak,20 800,25 600
159,Junior Java Developer,Nie podano,Tak,7 500,10 000
160,Senior Java Developer (Securities Investment),Nie podano,Tak,Brak danych,Brak danych
161,Java Developer (Securities Investment),Nie podano,Tak,Brak danych,Brak danych
162,Java Developer Commerzbank,Nie podano,Tak,Brak danych,Brak danych
163,Senior Java Fullstack Developer (Securities Investment),Nie podano,Tak,Brak danych,Brak danych
164,"Fullstack Developer - React, Java - Commerzbank",Nie podano,Tak,Brak danych,Brak danych
165,Java Software Developer - Risk Quality,Nie podano,Tak,Brak danych,Brak danych
166,Fullstack Developer (DBS),Nie podano,Tak,Brak danych,Brak danych
167,Junior Test Automation Engineer - Trade Finance,Nie podano,Tak,Brak danych,Brak danych
168,Senior Java Developer,Nie podano,Nie,Brak danych,Brak danych
169,Java full stack developer,Nie podano,Tak,Brak danych,Brak danych
170,Senior Java Developer,Nie podano,Nie,Brak danych,Brak danych
171,Lead Java Developer,Nie podano,Tak,Brak danych,Brak danych
172,Senior Java Engineer,Nie podano,Tak,Brak danych,Brak danych
173,Senior Java Developer,Nie podano,Nie,Brak danych,Brak danych
174,Senior Java Developer,"Katowice, Warszawa",Nie,19 000,25 400
175,Senior Java/Cloud Developer,Nie podano,Tak,Brak danych,Brak danych
176,Senior Java Developer,Nie podano,Nie,Brak danych,Brak danych
177,"Junior Java Developer (with AWS, Linux)",Nie podano,Tak,Brak danych,Brak danych
178,Senior Java Developer,Nie podano,Tak,Brak danych,Brak danych
179,Java Developer,Nie podano,Nie,Brak danych,Brak danych
180,Senior Java Developer,"Kraków, Wrocław",Nie,19 000,25 400
181,Software Development Engineer ( Java/ SQL),Nie podano,Tak,14 000,20 000
182,Backend Java Developer,Nie podano,Tak,Brak danych,Brak danych
183,Senior Software Engineer,"Katowice, Kraków, Łódź, Warszawa",Tak,7 200,14 500
184,Senior Java Developer,"Katowice, Łódź",Tak,19 000,25 400
185,Senior Java Developer,"Katowice, Łódź",Tak,19 000,25 400
186,Junior Java Engineer,Nie podano,Tak,Brak danych,Brak danych
187,Senior Java Developer,"Katowice, Warszawa",Nie,19 000,25 400
188,Regular Java Developer,Nie podano,Tak,Brak danych,Brak danych
189,Java Developer,Nie podano,Nie,Brak danych,Brak danych
190,Senior Java Developer,Nie podano,Tak,Brak danych,Brak danych
191,Senior Java Developer,"Katowice, Warszawa",Nie,19 000,25 400
192,Senior Java Developer,"Katowice, Warszawa",Nie,19 000,25 400
193,Java Developer,Nie podano,Tak,Brak danych,Brak danych
194,Senior Java Developer,Nie podano,Tak,Brak danych,Brak danych
195,Regular Java Developer,Nie podano,Tak,Brak danych,Brak danych
196,Senior Java Developer with JavaScript,Nie podano,Nie,Brak danych,Brak danych
197,Senior Java Developer,Nie podano,Tak,Brak danych,Brak danych
198,Regular Java Engineer,Nie podano,Tak,Brak danych,Brak danych
199,Senior Software Engineer,"Kraków, Szczecin, Warszawa, Wrocław",Tak,7 200,14 500
200,Senior Java Developer,Nie podano,Tak,Brak danych,Brak danych
201,Senior Java Development Expert / Architect,Nie podano,Tak,28 500,40 000
202,Java Software Developer,Nie podano,Tak,13 000,17 500
203,Java Developer - Wertpapier Prozess,Nie podano,Tak,Brak danych,Brak danych
204,Senior Software Engineer,"Kraków, Łódź, Lublin, Wrocław",Tak,7 200,14 500
205,Junior Java Developer,Nie podano,Tak,Brak danych,Brak danych
206,Senior Java Developer (B2B),Nie podano,Tak,Brak danych,Brak danych
207,Senior Java Developer (Trade Finance),Nie podano,Tak,Brak danych,Brak danych
208,Java Developer - Common Connectivity Tribe,Nie podano,Tak,Brak danych,Brak danych
209,Programista Java,Nie podano,Tak,Brak danych,Brak danych
210,Tester Automatyzujący Java,"Białystok, Bydgoszcz, Gdańsk, Katowice, Kraków, Łódź, Lublin, Poznań, Rzeszów, Warszawa, Wrocław",Tak,14 000,20 800
211,Senior Automation Tester - ePayment FinTech,Nie podano,Tak,Brak danych,Brak danych
212,Java Developer,Nie podano,Tak,Brak danych,Brak danych
213,Cloud Developer Fullstack (SAP BTP),"Białystok, Kielce, Łódź, Poznań, Zielona Góra",Tak,14 500,17 500
214,Remote Java Software Developer (mid/senior),Nie podano,Tak,14 000,23 000
215,Remote Java Backend Developer  (mid/senior),Nie podano,Tak,14 000,23 000
216,Senior Java Developer,"Lublin, Wrocław",Tak,19 000,25 400
217,Junior Java Developer,Nie podano,Nie,Brak danych,Brak danych
218,Junior Java Developer,Nie podano,Tak,5 000,10 000
219,Lead Developer/Architect,"Katowice, Kraków, Lublin, Sosnowiec, Warszawa, Wrocław",Tak,20 000,25 000
220,Cloud Software Developer (Intelligent Selling Services),"Kraków, Paryż, Ulm",Tak,13 000,17 700
221,Java Developer,Nie podano,Tak,12 000,19 000
222,Senior Java Developer with solution architect tasks,Nie podano,Tak,Brak danych,Brak danych
223,Programista Java - projekt public,Nie podano,Tak,Brak danych,Brak danych
224,Programista Java,Nie podano,Tak,Brak danych,Brak danych
225,FullStack Developer,Nie podano,Tak,12 000,20 000
226,Senior Java Developer,"Białystok, Lublin",Tak,19 000,25 400
227,Senior Java Developer,"Gdynia, Warszawa",Tak,19 000,25 400
228,Java Developer,Nie podano,Tak,Brak danych,Brak danych
229,Cloud Software Developer (Intelligent Selling Services),"Gdańsk, Lublin, Warszawa",Tak,13 000,17 700
230,Senior Java Developer,Nie podano,Tak,16 600,25 000
231,Senior Software Engineer,"Bydgoszcz, Gdańsk, Poznań, Warszawa",Tak,7 200,14 500
232,Fullstack Developer,Nie podano,Tak,20 000,22 000
233,Java Developer,Nie podano,Tak,10 000,15 000
234,Cloud Software Developer (Intelligent Selling Services),"Gdańsk, Łódź, Wrocław",Tak,13 000,17 700
235,Java Tech Lead,"Białystok, Gdańsk, Łódź, Lublin, Poznań, Szczecin, Warszawa, Wrocław",Tak,25 000,32 000
